date,cu_usd_per_tonne,al_usd_per_tonne,eur_usd_rate,cu_eur_per_tonne,al_eur_per_tonne
2024-10-09,9550.0,2530.0,1.0957,8715.88938578078,2309.026193301086
2024-10-10,9507.0,2550.5,1.0932,8696.48737650933,2333.0589096231247
2024-10-11,9596.5,2645.0,1.0938,8773.541780947156,2418.175169135125
2024-10-14,9516.0,2566.0,1.0915,8718.277599633533,2350.8932661475037
2024-10-15,9401.5,2522.0,1.0903,8622.856094652847,2313.124828028983
2024-10-16,9489.0,2557.5,1.0897,8707.90125722676,2346.976231990456
2024-10-17,9380.0,2524.5,1.0866,8632.431437511505,2323.302043070127
2024-10-18,9472.5,2553.0,1.0847,8732.829353738362,2353.6461694477734
2024-10-21,9592.5,2582.5,1.0853,8838.569980650513,2379.526398230904
2024-10-22,9490.5,2609.0,1.0821,8770.446354311061,2411.0525829405783
2024-10-23,9364.0,2625.0,1.0767,8696.94436704746,2438.005015324603
2024-10-24,9413.0,2643.0,1.0801,8714.933802425701,2446.9956485510597
2024-10-25,9385.0,2600.5,1.0825,8669.745958429561,2402.309468822171
2024-10-28,9402.0,2610.0,1.0818,8691.070438158624,2412.645590682196
2024-10-29,9431.0,2617.5,1.0774,8753.48060144793,2429.459810655281
2024-10-30,9356.0,2623.0,1.0815,8650.947757743876,2425.3351826167363
2024-10-31,9427.0,2617.5,1.0882,8662.929608527844,2405.3482815658886
2024-11-01,9425.0,2613.5,1.0885,8658.704639412035,2401.010564997703
2024-11-04,9505.0,2581.0,1.0904,8716.984592809978,2367.0212765957444
2024-11-05,9587.5,2605.5,1.0897,8798.293108194917,2391.0250527668168
2024-11-06,9250.5,2549.5,1.0695,8649.36886395512,2383.8242169237965
2024-11-07,9386.0,2652.5,1.0785,8702.828001854426,2459.4343996291145
2024-11-08,9323.0,2600.5,1.0772,8654.845896769402,2414.129223913851
2024-11-11,9251.0,2555.0,1.0651,8685.56943010046,2398.8357900666606
2024-11-12,9005.0,2530.0,1.0617,8481.680324008665,2382.9707073561267
2024-11-13,8969.0,2514.0,1.0629,8438.235017405212,2365.2272085802992
2024-11-14,8768.0,2504.0,1.0533,8324.314060571538,2377.29042058293
2024-11-15,9055.0,2641.0,1.0583,8556.174997637721,2495.511669658887
2024-11-18,8859.5,2563.0,1.0552,8396.0386656558,2428.9234268385144
2024-11-19,8919.5,2583.5,1.0578,8432.123274721118,2442.333144261675
2024-11-20,9022.0,2654.5,1.0562,8541.942813861011,2513.255065328536
2024-11-21,8945.5,2591.0,1.0526,8498.479954398632,2461.5238457153714
2024-11-22,8829.0,2589.0,1.0412,8479.638878217442,2486.5539761813293
2024-11-25,8918.0,2616.0,1.0495,8497.379704621248,2492.6155312053356
2024-11-26,8925.0,2590.5,1.0522,8482.227713362478,2461.98441360958
2024-11-27,8897.5,2577.0,1.0531,8448.865254961544,2447.0610578292662
2024-11-28,8850.5,2564.0,1.0542,8395.465756023525,2432.1760576740658
2024-11-29,8879.0,2572.0,1.0562,8406.551789433819,2435.144858928233
2024-12-02,8871.0,2564.5,1.0507,8442.94280003807,2440.7537831921577
2024-12-03,8941.0,2577.0,1.0512,8505.517503805177,2451.4840182648404
2024-12-04,8951.0,2583.0,1.0492,8531.261913839116,2461.875714830347
2024-12-05,8967.0,2620.5,1.054,8507.590132827325,2486.242884250474
2024-12-06,9040.0,2555.0,1.0581,8543.615915319913,2414.7056043852185
2024-12-09,9104.0,2556.0,1.0568,8614.685844057532,2418.622255866768
2024-12-10,9067.0,2553.0,1.0527,8613.090149140306,2425.192362496438
2024-12-11,9077.0,2556.0,1.0507,8639.002569715429,2432.66393832683
2024-12-12,9038.5,2555.0,1.0491,8615.479935182539,2435.420836907826
2024-12-13,8989.0,2567.5,1.0518,8546.301578246814,2441.0534322114468
2024-12-16,8932.0,2543.0,1.0498,8508.287292817678,2422.3661649838064
2024-12-17,8851.5,2497.0,1.0497,8432.40925978851,2378.774888063256
2024-12-18,8905.5,2483.5,1.0496,8484.66082317073,2366.139481707317
2024-12-19,8795.5,2470.0,1.0395,8461.27946127946,2376.1423761423757
2024-12-20,8793.0,2483.0,1.039,8462.945139557267,2389.7978825794034
2024-12-23,8838.0,2504.0,1.0393,8503.800635042819,2409.3139613201197
2024-12-24,8847.5,2541.5,1.0395,8511.303511303511,2444.925444925445
2024-12-27,8843.0,2513.0,1.0435,8474.365117393387,2408.2414949688546
2024-12-30,8833.0,2529.5,1.0444,8457.487552661816,2421.964764458062
2024-12-31,8706.0,2516.5,1.0389,8380.017326017904,2422.2735585715664
2025-01-02,8685.5,2536.0,1.0321,8415.366728030229,2457.126247456642
2025-01-03,8701.0,2475.0,1.0299,8448.393047868725,2403.145936498689
2025-01-06,8893.5,2480.0,1.0426,8530.117015154421,2378.6687128333015
2025-01-07,8886.0,2484.0,1.0393,8549.9855672087,2390.070239584336
